DEPT,Region,FOL,Question,Answer,Count,WTPS_Sum
Department of Justice Canada,Atlantic,English,MAN_60A,Somewhat agree,1,1.9794
Department of Justice Canada,Atlantic,French,MAN_60A,Strongly agree,1,3
Department of Justice Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,1.9091
Department of Justice Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,1.9794
Department of Justice Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,6,13.8512
Department of Justice Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,2,5.322
Department of Justice Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,6,12.1446
Department of Justice Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,2,6
Department of Justice Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.9794
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,9,21.9796
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,4,8.7379
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly disagree,1,1.9794
Department of Justice Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,2,4.9794
Department of Justice Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,10,23.4969
Department of Justice Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,3,5.9382
Department of Justice Canada,National Capital Region,English,MAN_60A,Strongly agree,50,111.1919
Department of Justice Canada,National Capital Region,English,MAN_60A,Somewhat agree,15,36.3568
Department of Justice Canada,National Capital Region,English,MAN_60A,Somewhat disagree,2,4.9091
Department of Justice Canada,National Capital Region,English,MAN_60A,Strongly disagree,1,1.75
Department of Justice Canada,National Capital Region,English,MAN_60A,Unable to assess,2,5
Department of Justice Canada,National Capital Region,French,MAN_60A,Strongly agree,39,86.514
Department of Justice Canada,National Capital Region,French,MAN_60A,Somewhat agree,20,44.3946
Department of Justice Canada,National Capital Region,French,MAN_60A,Neither agree nor disagree,2,4.5115
Department of Justice Canada,National Capital Region,French,MAN_60A,Somewhat disagree,2,3.7333
Department of Justice Canada,National Capital Region,French,MAN_60A,Strongly disagree,1,2.3659
Department of Justice Canada,National Capital Region,French,MAN_60A,Unable to assess,5,10.5515
Department of Justice Canada,Not stated,English,MAN_60A,Strongly agree,1,3
Canadian Heritage,Atlantic,English,MAN_60A,Strongly agree,1,1.8915
Canadian Heritage,Atlantic,French,MAN_60A,Somewhat agree,1,1.8915
Canadian Heritage,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,1.8915
Canadian Heritage,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,2,4.2493
Canadian Heritage,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,2.7568
Canadian Heritage,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,1,1.8915
Canadian Heritage,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,3,6.2715
Canadian Heritage,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,2.3
Canadian Heritage,"British Columbia, Yukon",French,MAN_60A,Strongly agree,1,2.08
Canadian Heritage,National Capital Region,English,MAN_60A,Strongly agree,35,73.5139
Canadian Heritage,National Capital Region,English,MAN_60A,Somewhat agree,15,31.9996
Canadian Heritage,National Capital Region,English,MAN_60A,Neither agree nor disagree,1,1.8915
Canadian Heritage,National Capital Region,English,MAN_60A,Somewhat disagree,1,1.8915
Canadian Heritage,National Capital Region,English,MAN_60A,Unable to assess,3,6.1226
Canadian Heritage,National Capital Region,French,MAN_60A,Strongly agree,70,147.9428
Canadian Heritage,National Capital Region,French,MAN_60A,Somewhat agree,29,59.175
Canadian Heritage,National Capital Region,French,MAN_60A,Somewhat disagree,1,2.0921
Canadian Heritage,National Capital Region,French,MAN_60A,Strongly disagree,2,5.8107
Canadian Heritage,National Capital Region,French,MAN_60A,Unable to assess,4,9.2647
Public Service Commission of Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,2,3.8142
Public Service Commission of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,2,4.5272
Public Service Commission of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,1,2.0631
Public Service Commission of Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.7642
Public Service Commission of Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,1.7642
Public Service Commission of Canada,National Capital Region,English,MAN_60A,Strongly agree,13,24.6152
Public Service Commission of Canada,National Capital Region,English,MAN_60A,Somewhat agree,6,11.2064
Public Service Commission of Canada,National Capital Region,English,MAN_60A,Strongly disagree,1,1.5769
Public Service Commission of Canada,National Capital Region,English,MAN_60A,Unable to assess,1,2.3913
Public Service Commission of Canada,National Capital Region,French,MAN_60A,Strongly agree,31,62.0126
Public Service Commission of Canada,National Capital Region,French,MAN_60A,Somewhat agree,12,24.2868
Public Service Commission of Canada,National Capital Region,French,MAN_60A,Strongly disagree,2,4.4413
Public Service Commission of Canada,National Capital Region,French,MAN_60A,Unable to assess,2,3.7371
Public Service Commission of Canada,Not stated,Not stated,MAN_60A,Neither agree nor disagree,1,1.9763
Immigration and Refugee Board of Canada,Atlantic,French,MAN_60A,Somewhat agree,1,1.5789
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,4,9.5476
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,2,4.9306
Immigration and Refugee Board of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,1,2.725
Immigration and Refugee Board of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,6,15.7548
Immigration and Refugee Board of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,2,4.9992
Immigration and Refugee Board of Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,6,16.0869
Immigration and Refugee Board of Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,2.2742
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_60A,Strongly agree,8,23.3525
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_60A,Somewhat agree,4,9.5416
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_60A,Somewhat disagree,1,2.32
Immigration and Refugee Board of Canada,National Capital Region,English,MAN_60A,Unable to assess,1,2.32
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_60A,Strongly agree,6,14.7197
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_60A,Somewhat agree,2,3.1578
Immigration and Refugee Board of Canada,National Capital Region,French,MAN_60A,Somewhat disagree,1,2.2742
Department of Finance Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,2.3333
Department of Finance Canada,National Capital Region,English,MAN_60A,Strongly agree,19,48.708
Department of Finance Canada,National Capital Region,English,MAN_60A,Somewhat agree,6,14.7994
Department of Finance Canada,National Capital Region,English,MAN_60A,Unable to assess,3,7.5801
Department of Finance Canada,National Capital Region,French,MAN_60A,Strongly agree,18,46.0716
Department of Finance Canada,National Capital Region,French,MAN_60A,Somewhat agree,1,2.2831
Department of Finance Canada,National Capital Region,French,MAN_60A,Unable to assess,1,2.6552
Canadian Grain Commission,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly disagree,1,1.6021
Canadian Grain Commission,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.5843
Canadian Grain Commission,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,1,1.5778
Canadian Grain Commission,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,1.7079
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,22,35.6123
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,4,6.3705
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly disagree,1,1.6957
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,2,3.2149
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_60A,Strongly agree,1,1.5843
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,2,3.4036
Canadian Grain Commission,"British Columbia, Yukon",English,MAN_60A,Unable to assess,1,1.7079
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Strongly agree,65,140.4144
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Somewhat agree,23,48.6543
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Neither agree nor disagree,2,4.3656
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Somewhat disagree,6,12.4
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Strongly disagree,5,10.0697
Treasury Board of Canada Secretariat,National Capital Region,English,MAN_60A,Unable to assess,6,12.4151
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_60A,Strongly agree,46,96.7197
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_60A,Somewhat agree,18,38.1035
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_60A,Somewhat disagree,3,6.1956
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_60A,Strongly disagree,2,4.1478
Treasury Board of Canada Secretariat,National Capital Region,French,MAN_60A,Unable to assess,2,4.2
Privy Council Office,National Capital Region,English,MAN_60A,Strongly agree,25,79.6043
Privy Council Office,National Capital Region,English,MAN_60A,Somewhat agree,6,18.4175
Privy Council Office,National Capital Region,English,MAN_60A,Neither agree nor disagree,1,2.871
Privy Council Office,National Capital Region,English,MAN_60A,Somewhat disagree,3,10.4642
Privy Council Office,National Capital Region,English,MAN_60A,Unable to assess,5,14.9022
Privy Council Office,National Capital Region,French,MAN_60A,Strongly agree,18,58.7744
Privy Council Office,National Capital Region,French,MAN_60A,Somewhat agree,12,34.6179
Privy Council Office,National Capital Region,French,MAN_60A,Neither agree nor disagree,3,8.5262
Privy Council Office,National Capital Region,French,MAN_60A,Unable to assess,1,2.6154
Courts Administration Service,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.9481
Courts Administration Service,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,2,4.4692
Courts Administration Service,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,1,2.5211
Courts Administration Service,"British Columbia, Yukon",English,MAN_60A,Strongly agree,1,2.5211
Courts Administration Service,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,2.5211
Courts Administration Service,National Capital Region,English,MAN_60A,Strongly agree,6,14.7252
Courts Administration Service,National Capital Region,English,MAN_60A,Somewhat agree,2,4.3361
Courts Administration Service,National Capital Region,English,MAN_60A,Unable to assess,1,2.6923
Courts Administration Service,National Capital Region,French,MAN_60A,Strongly agree,12,27.4677
Courts Administration Service,National Capital Region,French,MAN_60A,Somewhat agree,4,10.2556
Courts Administration Service,National Capital Region,French,MAN_60A,Neither agree nor disagree,1,1.9481
Courts Administration Service,National Capital Region,French,MAN_60A,Strongly disagree,1,1.7979
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_60A,Strongly agree,11,20.4441
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_60A,Somewhat agree,7,11.6148
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_60A,Unable to assess,2,3.6666
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_60A,Strongly agree,16,31.3694
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_60A,Somewhat agree,11,21.9889
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_60A,Somewhat disagree,5,9.6679
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_60A,Unable to assess,1,2.0785
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_60A,Strongly agree,26,52.2358
Atlantic Canada Opportunities Agency,Atlantic,English,MAN_60A,Somewhat agree,2,4.4559
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_60A,Strongly agree,15,28.1616
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_60A,Somewhat agree,1,2.0526
Atlantic Canada Opportunities Agency,Atlantic,French,MAN_60A,Neither agree nor disagree,1,1.5286
Atlantic Canada Opportunities Agency,National Capital Region,English,MAN_60A,Strongly agree,1,2.0526
Atlantic Canada Opportunities Agency,National Capital Region,English,MAN_60A,Unable to assess,1,1.4138
Atlantic Canada Opportunities Agency,National Capital Region,French,MAN_60A,Strongly agree,1,2.25
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,12,23.3708
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_60A,Somewhat agree,2,3.8306
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,34,76.8284
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,13,25.3185
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,1,1.9153
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,1,2.1333
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly disagree,1,1.9758
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Unable to assess,3,5.8064
Canadian Space Agency,National Capital Region,English,MAN_60A,Strongly agree,2,3.9057
Canadian Space Agency,National Capital Region,English,MAN_60A,Somewhat agree,2,4.2666
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,2.52
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,16,31.3965
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,8,16.8423
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_60A,Neither agree nor disagree,1,2.1869
Canada Economic Development for Québec Regions,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat disagree,1,2.1869
Canada Economic Development for Québec Regions,National Capital Region,French,MAN_60A,Strongly agree,1,1.7
Parole Board of Canada,Atlantic,French,MAN_60A,Strongly agree,1,1.9725
Parole Board of Canada,Atlantic,French,MAN_60A,Somewhat agree,1,2.0789
Parole Board of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,1,1.9725
Parole Board of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly disagree,1,2.5
Parole Board of Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,2.3367
Parole Board of Canada,National Capital Region,English,MAN_60A,Strongly agree,8,17.2487
Parole Board of Canada,National Capital Region,English,MAN_60A,Somewhat agree,1,2.5
Parole Board of Canada,National Capital Region,English,MAN_60A,Strongly disagree,1,1.9725
Parole Board of Canada,National Capital Region,French,MAN_60A,Strongly agree,6,12.7267
Parole Board of Canada,National Capital Region,French,MAN_60A,Somewhat agree,4,9.2523
Transportation Safety Board of Canada,Atlantic,English,MAN_60A,Strongly agree,1,1.9027
Transportation Safety Board of Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly disagree,1,1.8438
Transportation Safety Board of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.9027
Transportation Safety Board of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Unable to assess,1,1.8237
Transportation Safety Board of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,1.9027
Transportation Safety Board of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,1,1.9027
Transportation Safety Board of Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,1,1.8438
Transportation Safety Board of Canada,National Capital Region,English,MAN_60A,Strongly agree,2,4.2014
Transportation Safety Board of Canada,National Capital Region,French,MAN_60A,Strongly agree,4,9.2373
Transportation Safety Board of Canada,Not stated,French,MAN_60A,Strongly agree,1,2.5573
Canadian Human Rights Commission,National Capital Region,English,MAN_60A,Strongly agree,1,1.8548
Canadian Human Rights Commission,National Capital Region,English,MAN_60A,Somewhat agree,2,4.0182
Canadian Human Rights Commission,National Capital Region,French,MAN_60A,Strongly agree,10,19.7835
Canadian Human Rights Commission,National Capital Region,French,MAN_60A,Somewhat agree,3,6.1187
Canadian Human Rights Commission,National Capital Region,Not stated,MAN_60A,Somewhat agree,1,1.6
Office of the Commissioner of Official Languages,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,1,1.7843
Office of the Commissioner of Official Languages,National Capital Region,English,MAN_60A,Strongly agree,1,1.7843
Office of the Commissioner of Official Languages,National Capital Region,English,MAN_60A,Strongly disagree,1,2.0326
Office of the Commissioner of Official Languages,National Capital Region,French,MAN_60A,Strongly agree,8,17.9784
Office of the Commissioner of Official Languages,National Capital Region,French,MAN_60A,Somewhat agree,2,4.2168
Office of the Commissioner of Official Languages,National Capital Region,French,MAN_60A,Neither agree nor disagree,1,1.7843
Western Economic Diversification Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,17,31.1207
Western Economic Diversification Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,5,8.7588
Western Economic Diversification Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat disagree,1,1.8699
Western Economic Diversification Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,1,1.8699
Western Economic Diversification Canada,"Prairies, Nunavut, Northwest Territories",Not stated,MAN_60A,Strongly agree,1,1.94
Western Economic Diversification Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,2,3.6478
Western Economic Diversification Canada,National Capital Region,English,MAN_60A,Strongly agree,1,1.8699
Western Economic Diversification Canada,National Capital Region,English,MAN_60A,Somewhat disagree,1,1.8699
Western Economic Diversification Canada,National Capital Region,English,MAN_60A,Strongly disagree,1,1.5333
Supreme Court of Canada,National Capital Region,English,MAN_60A,Somewhat agree,1,3.1333
Supreme Court of Canada,National Capital Region,French,MAN_60A,Strongly agree,7,18.6965
Public Prosecution Service of Canada,Atlantic,English,MAN_60A,Strongly agree,2,4.2192
Public Prosecution Service of Canada,Atlantic,English,MAN_60A,Somewhat agree,1,2.4375
Public Prosecution Service of Canada,Atlantic,French,MAN_60A,Strongly agree,1,2.1096
Public Prosecution Service of Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Unable to assess,1,2.4375
Public Prosecution Service of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.6941
Public Prosecution Service of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,2.1096
Public Prosecution Service of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,2.1096
Public Prosecution Service of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Unable to assess,1,1.94
Public Prosecution Service of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,6,11.1123
Public Prosecution Service of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,3,5.8257
Public Prosecution Service of Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,3,6.2412
Public Prosecution Service of Canada,"British Columbia, Yukon",English,MAN_60A,Somewhat agree,2,4.1316
Public Prosecution Service of Canada,"British Columbia, Yukon",English,MAN_60A,Unable to assess,1,2.1096
Public Prosecution Service of Canada,National Capital Region,English,MAN_60A,Strongly agree,7,12.2088
Public Prosecution Service of Canada,National Capital Region,English,MAN_60A,Somewhat agree,5,8.2989
Public Prosecution Service of Canada,National Capital Region,English,MAN_60A,Neither agree nor disagree,1,2.1096
Public Prosecution Service of Canada,National Capital Region,French,MAN_60A,Strongly agree,5,7.9684
Canadian Environmental Assessment Agency,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.6107
Canadian Environmental Assessment Agency,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,1.6107
Canadian Environmental Assessment Agency,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,1,1.6107
Canadian Environmental Assessment Agency,"British Columbia, Yukon",English,MAN_60A,Strongly agree,1,2.1765
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_60A,Strongly agree,9,15.7533
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_60A,Somewhat agree,1,2.1765
Canadian Environmental Assessment Agency,National Capital Region,French,MAN_60A,Strongly agree,8,16.378
Canadian Environmental Assessment Agency,National Capital Region,French,MAN_60A,Somewhat agree,2,3.7872
Public Safety Canada,Atlantic,English,MAN_60A,Somewhat agree,1,1.876
Public Safety Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,5,10.3047
Public Safety Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,1,2.5517
Public Safety Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,2,3.752
Public Safety Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,1,1.876
Public Safety Canada,"British Columbia, Yukon",English,MAN_60A,Strongly agree,2,3.752
Public Safety Canada,National Capital Region,English,MAN_60A,Strongly agree,37,84.4332
Public Safety Canada,National Capital Region,English,MAN_60A,Somewhat agree,16,35.4597
Public Safety Canada,National Capital Region,English,MAN_60A,Somewhat disagree,2,4.009
Public Safety Canada,National Capital Region,English,MAN_60A,Strongly disagree,1,2.125
Public Safety Canada,National Capital Region,English,MAN_60A,Unable to assess,1,2.125
Public Safety Canada,National Capital Region,French,MAN_60A,Strongly agree,23,49.7576
Public Safety Canada,National Capital Region,French,MAN_60A,Somewhat agree,7,13.501
Public Safety Canada,National Capital Region,French,MAN_60A,Strongly disagree,1,2.4557
Canadian Transportation Agency,National Capital Region,English,MAN_60A,Strongly agree,9,15.255
Canadian Transportation Agency,National Capital Region,English,MAN_60A,Somewhat agree,6,10.2811
Canadian Transportation Agency,National Capital Region,French,MAN_60A,Strongly agree,4,7.2064
Canadian Transportation Agency,National Capital Region,French,MAN_60A,Somewhat agree,2,3.9296
Canadian Transportation Agency,National Capital Region,French,MAN_60A,Somewhat disagree,1,1.5217
Canadian Transportation Agency,National Capital Region,French,MAN_60A,Unable to assess,1,1.9422
Canadian Transportation Agency,National Capital Region,Not stated,MAN_60A,Strongly agree,1,1.5217
Office of the Superintendent of Financial Institutions Can,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,2.386
Office of the Superintendent of Financial Institutions Can,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,1,2.467
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,20,47.801
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,4,9.625
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat disagree,1,2.386
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),English,MAN_60A,Unable to assess,2,4.853
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,2.467
Office of the Superintendent of Financial Institutions Can,Ontario (excluding the National Capital Region),Not stated,MAN_60A,Strongly agree,1,2.386
Office of the Superintendent of Financial Institutions Can,National Capital Region,English,MAN_60A,Strongly agree,13,31.504
Office of the Superintendent of Financial Institutions Can,National Capital Region,English,MAN_60A,Somewhat agree,2,4.853
Office of the Superintendent of Financial Institutions Can,National Capital Region,French,MAN_60A,Strongly agree,3,7.239
Office of the Superintendent of Financial Institutions Can,National Capital Region,French,MAN_60A,Somewhat agree,2,4.853
Public Health Agency of Canada,Atlantic,English,MAN_60A,Strongly agree,1,2.0385
Public Health Agency of Canada,Quebec (excluding the National Capital Region),English,MAN_60A,Strongly agree,2,4.1071
Public Health Agency of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,4,10.0134
Public Health Agency of Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Somewhat agree,4,8.4934
Public Health Agency of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Strongly agree,5,11.6876
Public Health Agency of Canada,Ontario (excluding the National Capital Region),English,MAN_60A,Somewhat agree,1,1.9835
Public Health Agency of Canada,Ontario (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,2.1236
Public Health Agency of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,20,50.2574
Public Health Agency of Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,3,7.6932
Public Health Agency of Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Strongly agree,1,2.3214
Public Health Agency of Canada,"Prairies, Nunavut, Northwest Territories",French,MAN_60A,Somewhat disagree,1,2.0385
Public Health Agency of Canada,National Capital Region,English,MAN_60A,Strongly agree,54,126.1272
Public Health Agency of Canada,National Capital Region,English,MAN_60A,Somewhat agree,15,35.7283
Public Health Agency of Canada,National Capital Region,English,MAN_60A,Neither agree nor disagree,2,4.1621
Public Health Agency of Canada,National Capital Region,English,MAN_60A,Somewhat disagree,1,2.1236
Public Health Agency of Canada,National Capital Region,English,MAN_60A,Unable to assess,10,22.1338
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Strongly agree,11,23.2668
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Somewhat agree,10,21.1845
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Neither agree nor disagree,1,2.3214
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Somewhat disagree,1,2.1236
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Strongly disagree,1,2.1236
Public Health Agency of Canada,National Capital Region,French,MAN_60A,Unable to assess,1,2.3214
Public Health Agency of Canada,National Capital Region,Not stated,MAN_60A,Strongly agree,1,2.8333
Public Health Agency of Canada,Not stated,English,MAN_60A,Neither agree nor disagree,1,1.9835
Office of the Secretary to the Governor General,National Capital Region,English,MAN_60A,Strongly agree,3,7.6155
Office of the Secretary to the Governor General,National Capital Region,English,MAN_60A,Somewhat agree,1,2.3442
Office of the Secretary to the Governor General,National Capital Region,French,MAN_60A,Strongly agree,3,7.9505
Office of the Secretary to the Governor General,National Capital Region,French,MAN_60A,Somewhat agree,2,4.9541
Office of the Secretary to the Governor General,National Capital Region,French,MAN_60A,Unable to assess,1,2.1899
Library and Archives Canada,Quebec (excluding the National Capital Region),French,MAN_60A,Strongly agree,1,1.1749
Library and Archives Canada,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,2,3.5714
Library and Archives Canada,National Capital Region,English,MAN_60A,Strongly agree,17,24.9681
Library and Archives Canada,National Capital Region,English,MAN_60A,Somewhat agree,3,4.3749
Library and Archives Canada,National Capital Region,English,MAN_60A,Somewhat disagree,2,3.9828
Library and Archives Canada,National Capital Region,English,MAN_60A,Unable to assess,1,1.7857
Library and Archives Canada,National Capital Region,French,MAN_60A,Strongly agree,32,53.6263
Library and Archives Canada,National Capital Region,French,MAN_60A,Somewhat agree,14,21.7636
Library and Archives Canada,National Capital Region,French,MAN_60A,Neither agree nor disagree,1,1.9302
Library and Archives Canada,National Capital Region,French,MAN_60A,Strongly disagree,1,1.6634
Library and Archives Canada,National Capital Region,French,MAN_60A,Unable to assess,1,2.8898
National Energy Board,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Strongly agree,16,30.056
National Energy Board,"Prairies, Nunavut, Northwest Territories",English,MAN_60A,Somewhat agree,5,9.3925
