final_dept_e,Region_e,FOL_e,question_name,question_value,total_respondants,total_w_resp,shr_w_resp,sorter
Canadian Environmental Assessment Agency,All regions,French,MAN_40BG_e,No,10,19.5994,1,19
Canadian Environmental Assessment Agency,All regions,French,MAN_50F_e,Yes,11,21.7759,1,18
Canadian Environmental Assessment Agency,All regions,French,MAN_50H_e,Yes,11,21.7759,1,18
Canadian Environmental Assessment Agency,National Capital Region,All official languages,MAN_10B_e,Yes,17,31.1222,1,18
Canadian Environmental Assessment Agency,National Capital Region,All official languages,MAN_40BD_e,No,19,35.9185,1,19
Canadian Environmental Assessment Agency,National Capital Region,All official languages,MAN_40BG_e,No,19,35.9185,1,19
Canadian Environmental Assessment Agency,National Capital Region,All official languages,MAN_50F_e,Yes,20,38.095,1,18
Canadian Environmental Assessment Agency,National Capital Region,All official languages,MAN_50H_e,Yes,20,38.095,1,18
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_10B_e,Yes,10,17.4881,1,18
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_25C_e,No,10,17.9298,1,19
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_35A_e,No,10,17.9298,1,19
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_40A_e,Yes,10,17.9298,1,18
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_40BD_e,No,10,17.9298,1,19
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_40BG_e,No,10,17.9298,1,19
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_50F_e,Yes,10,17.9298,1,18
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_50H_e,Yes,10,17.9298,1,18
Canadian Environmental Assessment Agency,National Capital Region,English,MAN_55B_e,None,10,17.9298,1,20
Canadian Environmental Assessment Agency,National Capital Region,French,MAN_50F_e,Yes,10,20.1652,1,18
Canadian Environmental Assessment Agency,National Capital Region,French,MAN_50H_e,Yes,10,20.1652,1,18
Canadian Environmental Assessment Agency,National Capital Region,French,MAN_85B_e,Not at all,10,20.1652,1,9
Canadian Grain Commission,All regions,All official languages,MAN_10B_e,Yes,23,36.8102,1,18
Canadian Grain Commission,All regions,All official languages,MAN_40BF_e,No,17,27.1647,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BD_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BE_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BF_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BG_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BH_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_45BI_e,No,20,31.675,1,19
Canadian Grain Commission,All regions,All official languages,MAN_55C_e,None,27,43.0108,1,20
Canadian Grain Commission,All regions,English,MAN_10B_e,Yes,18,28.6138,1,18
Canadian Grain Commission,All regions,English,MAN_40BF_e,No,15,23.8912,1,19
Canadian Grain Commission,All regions,English,MAN_40BG_e,No,15,23.8912,1,19
Canadian Grain Commission,All regions,English,MAN_45BD_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_45BE_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_45BF_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_45BG_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_45BH_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_45BI_e,No,19,30.1558,1,19
Canadian Grain Commission,All regions,English,MAN_55C_e,None,24,38.3295,1,20
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_10B_e,Yes,19,30.3616,1,18
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_40BF_e,No,16,25.5869,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BD_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BE_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BF_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BG_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BH_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_45BI_e,No,17,26.7807,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_50G_e,Yes,25,39.6648,1,18
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",All official languages,MAN_55C_e,None,22,34.8308,1,20
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_10B_e,Yes,15,23.7495,1,18
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_25C_e,No,26,41.4256,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_40BF_e,No,15,23.8912,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_40BG_e,No,15,23.8912,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BD_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BE_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BF_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BG_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BH_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_45BI_e,No,16,25.2615,1,19
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_50G_e,Yes,24,38.1456,1,18
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",English,MAN_55C_e,None,21,33.3116,1,20
Canadian Grain Commission,"Prairies, Nunavut, Northwest Territories",French,ALL_25_e,No,10,16.3983,1,19
Canadian Heritage,All regions,English,MAN_45BH_e,No,29,60.2034,1,19
Canadian Heritage,All regions,French,MAN_45BG_e,No,58,124.0025,1,19
Canadian Heritage,Atlantic,All official languages,ALL_20A_e,To a great extent,20,37.4869,1,12
Canadian Heritage,Atlantic,All official languages,ALL_25_e,No,21,39.6562,1,19
Canadian Heritage,Atlantic,English,ALL_20A_e,To a great extent,10,18.915,1,12
Canadian Heritage,Atlantic,English,ALL_20B_e,To a great extent,10,18.915,1,12
Canadian Heritage,Atlantic,English,ALL_20C_e,To a great extent,10,18.915,1,12
Canadian Heritage,Atlantic,English,ALL_25_e,No,10,18.915,1,19
Canadian Heritage,Atlantic,French,ALL_20A_e,To a great extent,10,18.5719,1,12
Canadian Heritage,Atlantic,French,ALL_25_e,No,11,20.7412,1,19
Canadian Heritage,"British Columbia, Yukon",English,ALL_25_e,No,21,43.9127,1,19
Canadian Heritage,National Capital Region,English,MAN_45BH_e,No,28,57.9034,1,19
Canadian Heritage,National Capital Region,French,MAN_45BG_e,No,53,113.6702,1,19
Canadian Heritage,"Prairies, Nunavut, Northwest Territories",English,ALL_20A_e,To a great extent,15,30.3016,1,12
Canadian Human Rights Commission,All regions,All official languages,MAN_35A_e,No,17,33.3752,1,19
Canadian Human Rights Commission,All regions,All official languages,MAN_40BG_e,No,14,27.5022,1,19
Canadian Human Rights Commission,All regions,All official languages,MAN_55C_e,None,14,27.8108,1,20
Canadian Human Rights Commission,All regions,French,MAN_35A_e,No,13,25.9022,1,19
Canadian Human Rights Commission,All regions,French,MAN_40BG_e,No,11,22.1141,1,19
Canadian Human Rights Commission,All regions,French,MAN_55C_e,None,11,22.1926,1,20
Canadian Human Rights Commission,National Capital Region,All official languages,MAN_35A_e,No,17,33.3752,1,19
Canadian Human Rights Commission,National Capital Region,All official languages,MAN_40BG_e,No,14,27.5022,1,19
Canadian Human Rights Commission,National Capital Region,All official languages,MAN_55C_e,None,14,27.8108,1,20
Canadian Human Rights Commission,National Capital Region,French,MAN_35A_e,No,13,25.9022,1,19
Canadian Human Rights Commission,National Capital Region,French,MAN_40BG_e,No,11,22.1141,1,19
Canadian Human Rights Commission,National Capital Region,French,MAN_55C_e,None,11,22.1926,1,20
Canadian Intergovernmental Conference Secretariat,All regions,All official languages,ALL_20A_e,To a great extent,10,20.909,1,12
Canadian Intergovernmental Conference Secretariat,All regions,All official languages,ALL_20B_e,To a great extent,10,20.909,1,12
Canadian Intergovernmental Conference Secretariat,All regions,All official languages,ALL_25_e,No,10,20.909,1,19
Canadian Intergovernmental Conference Secretariat,National Capital Region,All official languages,ALL_20A_e,To a great extent,10,20.909,1,12
Canadian Intergovernmental Conference Secretariat,National Capital Region,All official languages,ALL_20B_e,To a great extent,10,20.909,1,12
Canadian Intergovernmental Conference Secretariat,National Capital Region,All official languages,ALL_25_e,No,10,20.909,1,19
Canadian Northern Economic Development Agency,National Capital Region,All official languages,ALL_20A_e,To a great extent,10,20.6531,1,12
Canadian Northern Economic Development Agency,National Capital Region,All official languages,ALL_20B_e,To a great extent,10,20.6531,1,12
Canadian Northern Economic Development Agency,National Capital Region,All official languages,ALL_25_e,No,10,20.6531,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,All official languages,MAN_10B_e,Yes,25,42.9505,1,18
Canadian Radio-television and TeleCommunications Commission,All regions,All official languages,MAN_45BD_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,All official languages,MAN_45BG_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,All official languages,MAN_45BH_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,English,MAN_10B_e,Yes,13,21.5708,1,18
Canadian Radio-television and TeleCommunications Commission,All regions,English,MAN_35A_e,No,20,35.7255,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,French,MAN_10B_e,Yes,12,21.3797,1,18
Canadian Radio-television and TeleCommunications Commission,All regions,French,MAN_45BD_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,French,MAN_45BG_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,French,MAN_45BH_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,All regions,French,MAN_50A_e,No,26,52.0896,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,All official languages,MAN_10B_e,Yes,25,42.9505,1,18
Canadian Radio-television and TeleCommunications Commission,National Capital Region,All official languages,MAN_45BD_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,All official languages,MAN_45BG_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,All official languages,MAN_45BH_e,No,15,28.8276,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_10B_e,Yes,13,21.5708,1,18
Canadian Radio-television and TeleCommunications Commission,National Capital Region,English,MAN_35A_e,No,20,35.7255,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_10B_e,Yes,12,21.3797,1,18
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_45BD_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_45BG_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_45BH_e,No,10,19.0584,1,19
Canadian Radio-television and TeleCommunications Commission,National Capital Region,French,MAN_50A_e,No,26,52.0896,1,19
Canadian Space Agency,All regions,All official languages,MAN_10B_e,Yes,14,28.3032,1,18
Canadian Space Agency,All regions,All official languages,MAN_40BG_e,No,37,73.0115,1,19
Canadian Space Agency,All regions,All official languages,MAN_45BD_e,No,32,63.1174,1,19
Canadian Space Agency,All regions,All official languages,MAN_45BG_e,No,32,63.1174,1,19
Canadian Space Agency,All regions,English,MAN_35A_e,No,18,35.3737,1,19
Canadian Space Agency,All regions,English,MAN_40BG_e,No,13,25.7,1,19
Canadian Space Agency,All regions,English,MAN_50E_e,No,12,23.3186,1,19
Canadian Space Agency,All regions,English,MAN_55C_e,None,16,31.3771,1,20
Canadian Space Agency,All regions,French,MAN_10B_e,Yes,12,24.2184,1,18
Canadian Space Agency,All regions,French,MAN_40BG_e,No,24,47.3115,1,19
Canadian Space Agency,All regions,French,MAN_45BD_e,No,25,49.7171,1,19
Canadian Space Agency,All regions,French,MAN_45BG_e,No,25,49.7171,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),All official languages,MAN_10B_e,Yes,13,26.2608,1,18
Canadian Space Agency,Quebec (excluding the National Capital Region),All official languages,MAN_40BG_e,No,33,64.8392,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),All official languages,MAN_45BD_e,No,31,61.2541,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),All official languages,MAN_45BG_e,No,31,61.2541,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_25C_e,No,14,27.2014,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_35A_e,No,14,27.2014,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_50E_e,No,11,21.1853,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_55C_e,None,13,25.3381,1,20
Canadian Space Agency,Quebec (excluding the National Capital Region),English,MAN_85B_e,Not at all,21,40.9225,1,9
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_10B_e,Yes,12,24.2184,1,18
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_40BG_e,No,24,47.3115,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_45BD_e,No,25,49.7171,1,19
Canadian Space Agency,Quebec (excluding the National Capital Region),French,MAN_45BG_e,No,25,49.7171,1,19
Canadian Transportation Agency,All regions,All official languages,MAN_10B_e,Yes,19,33.4616,1,18
Canadian Transportation Agency,All regions,All official languages,MAN_45BE_e,No,13,23.3476,1,19
Canadian Transportation Agency,All regions,All official languages,MAN_45BG_e,No,13,23.3476,1,19
Canadian Transportation Agency,All regions,All official languages,MAN_45BI_e,No,13,23.3476,1,19
Canadian Transportation Agency,All regions,English,MAN_10B_e,Yes,14,24.2578,1,18
Canadian Transportation Agency,All regions,English,MAN_40BD_e,No,11,18.266,1,19
Canadian Transportation Agency,All regions,English,MAN_50J_e,No,10,16.1356,1,19
Canadian Transportation Agency,All regions,English,MAN_55C_e,None,10,16.1356,1,20
Canadian Transportation Agency,National Capital Region,All official languages,MAN_10B_e,Yes,19,33.4616,1,18
Canadian Transportation Agency,National Capital Region,All official languages,MAN_45BE_e,No,13,23.3476,1,19
Canadian Transportation Agency,National Capital Region,All official languages,MAN_45BG_e,No,13,23.3476,1,19
Canadian Transportation Agency,National Capital Region,All official languages,MAN_45BI_e,No,13,23.3476,1,19
Canadian Transportation Agency,National Capital Region,English,MAN_10B_e,Yes,14,24.2578,1,18
Canadian Transportation Agency,National Capital Region,English,MAN_40BD_e,No,11,18.266,1,19
Canadian Transportation Agency,National Capital Region,English,MAN_50J_e,No,10,16.1356,1,19
Canadian Transportation Agency,National Capital Region,English,MAN_55C_e,None,10,16.1356,1,20
Correctional Service Canada,All regions,All official languages,MAN_35BB_e,No,64,147.2388,1,19
Correctional Service Canada,All regions,All official languages,MAN_35BG_e,No,64,147.2388,1,19
Correctional Service Canada,All regions,All official languages,MAN_45BG_e,No,240,571.1847,1,19
Correctional Service Canada,All regions,English,MAN_35BB_e,No,42,94.7763,1,19
Correctional Service Canada,All regions,English,MAN_35BD_e,No,42,94.7763,1,19
Correctional Service Canada,All regions,English,MAN_35BG_e,No,42,94.7763,1,19
Correctional Service Canada,All regions,English,MAN_45BG_e,No,156,370.6733,1,19
Correctional Service Canada,All regions,French,MAN_35BB_e,No,22,52.4625,1,19
Correctional Service Canada,All regions,French,MAN_35BG_e,No,22,52.4625,1,19
Correctional Service Canada,All regions,French,MAN_45BG_e,No,84,200.5114,1,19
Correctional Service Canada,All regions,Not stated,ALL_25_e,No,17,51.3848,1,19
Correctional Service Canada,Atlantic,All official languages,MAN_45BG_e,No,26,61.5625,1,19
Correctional Service Canada,Atlantic,All official languages,MAN_55C_e,None,28,65.8167,1,20
Correctional Service Canada,Atlantic,French,MAN_25C_e,No,30,69.0647,1,19
Correctional Service Canada,Atlantic,French,MAN_45BG_e,No,18,41.9235,1,19
Correctional Service Canada,Atlantic,French,MAN_55C_e,None,20,43.942,1,20
Correctional Service Canada,"British Columbia, Yukon",All official languages,MAN_45BD_e,No,33,80.7336,1,19
Correctional Service Canada,"British Columbia, Yukon",All official languages,MAN_45BG_e,No,33,80.7336,1,19
Correctional Service Canada,"British Columbia, Yukon",All official languages,MAN_45BH_e,No,33,80.7336,1,19
Correctional Service Canada,"British Columbia, Yukon",English,MAN_45BD_e,No,32,78.0122,1,19
Correctional Service Canada,"British Columbia, Yukon",English,MAN_45BG_e,No,32,78.0122,1,19
Correctional Service Canada,"British Columbia, Yukon",English,MAN_45BH_e,No,32,78.0122,1,19
Correctional Service Canada,National Capital Region,All official languages,MAN_45BG_e,No,44,96.906,1,19
Correctional Service Canada,National Capital Region,All official languages,MAN_45BH_e,No,44,96.906,1,19
Correctional Service Canada,National Capital Region,All official languages,MAN_70J_e,No,10,22.4887,1,19
Correctional Service Canada,National Capital Region,English,MAN_45BG_e,No,23,51.7153,1,19
Correctional Service Canada,National Capital Region,English,MAN_45BH_e,No,23,51.7153,1,19
Correctional Service Canada,National Capital Region,English,MAN_45BI_e,No,23,51.7153,1,19
Correctional Service Canada,National Capital Region,French,MAN_45BD_e,No,21,45.1907,1,19
Correctional Service Canada,National Capital Region,French,MAN_45BG_e,No,21,45.1907,1,19
Correctional Service Canada,National Capital Region,French,MAN_45BH_e,No,21,45.1907,1,19
Correctional Service Canada,National Capital Region,French,MAN_55C_e,None,35,74.7438,1,20
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_35BB_e,No,17,37.8655,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_35BC_e,No,17,37.8655,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_35BD_e,No,17,37.8655,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_35BG_e,No,17,37.8655,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_35BH_e,No,17,37.8655,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_45BF_e,No,33,77.3755,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_45BG_e,No,33,77.3755,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),All official languages,MAN_55C_e,None,43,106.5197,1,20
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_35BB_e,No,15,33.4899,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_35BC_e,No,15,33.4899,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_35BD_e,No,15,33.4899,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_35BG_e,No,15,33.4899,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_35BH_e,No,15,33.4899,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_45BF_e,No,32,74.3983,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_45BG_e,No,32,74.3983,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),English,MAN_55C_e,None,39,97.1038,1,20
Correctional Service Canada,Ontario (excluding the National Capital Region),French,ALL_25_e,No,44,175.6621,1,19
Correctional Service Canada,Ontario (excluding the National Capital Region),Not stated,ALL_15B_e,To a great extent,10,29.3905,1,12
Correctional Service Canada,Ontario (excluding the National Capital Region),Not stated,ALL_25_e,No,10,29.3905,1,19
